Database,Number of attributes,NBScore,Ranker Score,Configuration,Combinations,Selected_attributes,Original
car-evaluation,5,0.8086705202312138,0.7736030828516378,"{'strategy': 'eager', 'block_size': 1, 'verbose': 0}",350.0,1.0,0.0
car-evaluation,5,0.8086705202312138,0.7736030828516378,"{'strategy': 'eager', 'block_size': 2, 'verbose': 0}",350.0,2.0,0.0
car-evaluation,5,0.8086705202312138,0.7976236351958896,"{'strategy': 'eager', 'block_size': 5, 'verbose': 0}",350.0,5.5,1.1333333333333333
car-evaluation,5,0.8086705202312138,0.7803468208092487,"{'strategy': 'eager', 'block_size': 10, 'verbose': 0}",350.0,11.333333333333334,2.0
car-evaluation,5,0.8086705202312138,0.7992292870905587,"{'strategy': 'skip', 'block_size': 1, 'max_iterations': 10, 'verbose': 0}",350.0,2.566666666666667,0.03333333333333333
car-evaluation,5,0.8086705202312138,0.8020552344251767,"{'strategy': 'skip', 'block_size': 2, 'max_iterations': 10, 'verbose': 0}",350.0,7.866666666666666,0.0
car-evaluation,5,0.8086705202312138,0.7950545921644188,"{'strategy': 'skip', 'block_size': 5, 'max_iterations': 10, 'verbose': 0}",350.0,6.833333333333333,1.1333333333333333
car-evaluation,5,0.8086705202312138,0.7798972382787411,"{'strategy': 'skip', 'block_size': 10, 'max_iterations': 10, 'verbose': 0}",350.0,13.666666666666666,2.0
car-evaluation,5,0.8086705202312138,0.7992292870905587,"{'strategy': 'skip', 'block_size': 1, 'max_features': 20, 'verbose': 0}",350.0,2.566666666666667,0.03333333333333333
car-evaluation,5,0.8086705202312138,0.8020552344251767,"{'strategy': 'skip', 'block_size': 2, 'max_features': 20, 'verbose': 0}",350.0,7.866666666666666,0.0
car-evaluation,5,0.8086705202312138,0.7950545921644188,"{'strategy': 'skip', 'block_size': 5, 'max_features': 20, 'verbose': 0}",350.0,6.833333333333333,1.1333333333333333
car-evaluation,5,0.8086705202312138,0.7798972382787411,"{'strategy': 'skip', 'block_size': 10, 'max_features': 20, 'verbose': 0}",350.0,13.666666666666666,2.0